nome_usina,fonte,capacidade_kw,latitude,longitude,data,curtailment_mw,codigo_ibge,nome_municipio,estado
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 16:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 16:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 17:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 17:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 18:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 18:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 19:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 19:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 20:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 20:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 21:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 21:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 22:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 22:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 23:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 23:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 00:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 00:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 01:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 01:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 02:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 02:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 03:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 03:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 04:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 04:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 05:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 05:30:00,,2305308,Ibiapina,CE
